brand,url_part,title,final Price,Original Price,product desc,material
AKS,kurtas/aks/aks-women-mustard-yellow--maroon-printed-straight-kurta/2250064/buy,Printed Straight Kurta,629,899,"Mustard yellow and maroon printed straight kurta, has a round neck, short sleeves, straight hem, side slits",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-white--blue-hand-block-print-anarkali-kurta/2463726/buy,Block Print Anarkali Kurta,1399,1999,"White and blue woven design Anarkali kurta with woven design, has a round neck, three-quarter sleeves, flared hem, no slits",Cotton  Dry-clean
AKS,kurtas/aks/aks-women-navy-printed-straight-kurta/2493383/buy,Printed Straight Kurta,824,1099,"Navy and beige printed straight kurta, has a round neck, short sleeves, straight hem, side slits",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-navy--pink-printed-angrakha-anarkali-kurta/2493399/buy,Printed Anarkali Kurta,1049,1499,"Navy and pink printed angrakha Anarkali kurta, has a V-neck, three-quarter sleeves, flared hem, front slit",Cotton Machine-wash
AKS,kurtas/aks/aks-women-maroon--blue-printed-a-line-kurta/2250024/buy,Printed A-Line Kurta,649,1299,"Maroon and blue printed A-line kurta, has a round neck, short sleeves, flared hem",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-brown-dyed-a-line-kurta/2250052/buy,Dyed A-Line Kurta,899,1999,"Brown dyed straight kurta, has a shirt collar, short sleeves, straight hem, and a front slit",Viscose Rayon Dry-clean
AKS,kurtas/aks/aks-maroon--blue-printed-anarkali-kurta/2082412/buy,Printed Anarkali Kurta,849,1699,"Maroon and blue printed Anarkali kurta, has a round neck, three-quarter sleeve, flared hem",Cotton Machine-wash
AKS,kurtas/aks/aks-women-mustard--rust-printed-anarkali-kurta/1951418/buy,Printed Anarkali Kurta,809,1799,"Mustard yellow and rust red printed Anarkali kurta, has a round neck, short sleeves, flared hem",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-black-woven-design-a-line-kurta/2095572/buy,Woven Design A-Line Kurta,749,1499,"Black woven design A-line kurta, has a mandarin collar, short sleeves, flared hem, front slit",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-cream-coloured--green-printed-straight-kurta/1945087/buy,Printed Straight Kurta,749,1499,"Cream-coloured and green printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, multiple slits, button placket on the front",Cotton  Machine-wash
